name,artists,release_date,danceability,energy,valence,acousticness,speechiness,instrumentalness,duration_ms,score,percentile,already_charted_in_tw
Against All Odds,"['Da Odd Couple', 'Doctor Butcher']",2020-10-30,0.7120000000000001,0.789,0.238,0.00646,0.2789999999999999,0.0974,59938,0.8450069946297363,99.97949101692683,False
Reymon Careta (Mensaje Pa La Calle) [feat. Reymon Careta] INTRO.,['Babalu Machete'],2011-01-01,0.733,0.461,0.552,0.976,0.941,0.0738,135890,0.8449185699253198,99.97935244271689,False
Go Harder,['American Poets 2099'],2015-02-10,0.748,0.376,0.7190000000000001,0.275,0.4029999999999999,0.0841,218280,0.8448489272511759,99.97921386850693,False
It's A Trick,['Pablo Moses'],2006-02-09,0.877,0.479,0.922,0.0232,0.16,0.088,284640,0.8447708671595252,99.97907529429698,False
Brinx,"['A$AP Twelvyy', 'Zay Nailer', 'Lago 2.0']",2020-04-03,0.723,0.675,0.5660000000000001,0.0348,0.263,0.0927,144009,0.8444385128795809,99.97893672008702,False
"Les bords de Seine (en duo avec Astrud Gilberto) - Oscar Niemeyer's 12"" Remix","['Étienne Daho', 'Astrud Gilberto']",2019-10-18,0.725,0.61,0.767,0.0807,0.128,0.0999,209188,0.8444091160279922,99.97879814587706,False
Need a Friend,['EL VY'],2015-10-30,0.7,0.6709999999999999,0.858,0.0899,0.136,0.0989,200747,0.8443755493555497,99.97859028456215,False
Need a Friend,['EL VY'],2015-10-27,0.7,0.6709999999999999,0.858,0.0899,0.136,0.0989,200747,0.8443755493555497,99.97859028456215,False
Jack The Playboy,['Lee Rogers'],2004-01-01,0.8059999999999999,0.696,0.926,0.2189999999999999,0.107,0.094,161000,0.8443517164239351,99.97838242324721,False
会いたかった (峯岸みなみver.) - Minami Minegishi Version,['AKB48'],,0.69,0.521,0.976,0.153,0.0669,0.0782,16493,0.8440293987774107,99.97824384903726,False
Finnish But Not Finished,['Simon Wickham Smith With Bill + Karl'],,0.621,0.6409999999999999,0.509,0.336,0.386,0.089,37000,0.8439883450445379,99.9781052748273,False
Rock Steady,['Aretha Franklin'],1972-01-24,0.7490000000000001,0.752,0.887,0.0108,0.126,0.0954,193573,0.8439130884552607,99.97796670061734,False
New Year,['FM Belfast'],2011-06-03,0.848,0.318,0.346,0.0253,0.0415,0.0973,161437,0.8438562847939098,99.9778281264074,False
